WP_ID,DataType,Date_Assessment_Original,Date_Assessment,Time_Assessment,Temp,pH,SEC,Turbidity,Total_Iron,Titration_1,Titration_2,Volume,N_VALUE,HCO3,Corrected_HCO3,Tryptophan_Probe,Sample_taken,SURVEY_DETAIL_ID,COUNTRY,Comment,Final_HCO3
MMZ37,Field,,2016-09-05,10:40:00,23.3,5.99,123.7,0.21,0.0,228.0,233.0,50.0,0.16,56.1989516030721,56.1989516030721,,Sampled,941,MAL,PVC pipes installed,56.1989516030721
MMZ38,Field,,2016-09-05,14:10:00,24.9,6.03,115.2,0.15,0.0,246.0,242.0,50.0,0.16,59.4904303303669,59.4904303303669,,Sampled,942,MAL,PVC pipes installed,59.4904303303669
MMZ39,Field,,2016-09-06,03:30:00,,,,,,,,,,,,,Not sampled,943,MAL,,
MMZ40,Field,,2016-09-06,04:35:00,,,,,,,,,,,,,Not sampled,944,MAL,,
MMZ35,Field,,2016-09-06,09:30:00,24.7,5.65,367.9,0.25,0.0,401.0,391.0,50.0,0.16,96.5500426673168,96.5500426673168,,Sampled,939,MAL,PVC pipes installed,96.5500426673168
MMZ36,Field,,2016-09-07,13:40:00,24.3,6.09,314.8,0.24,0.01,376.0,373.0,50.0,0.16,91.3080580275509,91.3080580275509,,Sampled,940,MAL,PVC pipes installed,91.3080580275509
MMZ31,Field,,2016-09-07,09:30:00,,,,,,,,,,,,,Not sampled,935,MAL,,
MMZ32,Field,,2016-09-08,10:45:00,23.6,7.06,334.6,11.7,0.0,752.0,788.0,50.0,0.16,187.736194075338,187.736194075338,,Sampled,936,MAL,PVC pipes installed,187.736194075338
MMZ33,Field,,2016-09-08,13:00:00,23.8,7.01,355.3,0.33,0.01,808.0,820.0,50.0,0.16,198.463976593929,198.463976593929,,Sampled,937,MAL,PVC pipes installed,198.463976593929
MMZ34,Field,,2016-09-08,14:30:00,,,,,,,,,,,,,Not sampled,938,MAL,,
MMZ28,Field,,2016-09-09,10:00:00,25.2,6.0,159.6,0.3,0.0,265.0,260.0,50.0,0.16,64.0009752529562,64.0009752529562,,Sampled,932,MAL,PVC pipes installed,64.0009752529562
MMZ29,Field,,2016-09-09,12:20:00,24.4,6.84,578.3,0.16,0.0,80.0,78.0,50.0,1.6,19.2612458856516,19.2612458856516,,Sampled,933,MAL,PVC pipes installed,19.2612458856516
MMZ30,Field,,2016-09-09,14:10:00,23.1,5.81,111.0,0.28,0.0,253.0,265.0,50.0,0.16,63.1476289162502,63.1476289162502,,Sampled,934,MAL,PVC pipes installed,63.1476289162502
MMZ25,Field,,2016-09-09,10:10:00,24.8,6.18,391.1,0.47,0.0,420.0,414.0,50.0,0.16,101.670120687553,101.670120687553,,Sampled,929,MAL,PVC pipes installed,101.670120687553
MMZ26,Field,,2016-09-10,11:50:00,24.6,6.58,586.7,0.11,0.0,667.0,687.0,50.0,0.16,165.061562842862,165.061562842862,,Sampled,930,MAL,PVC pipes installed,165.061562842862
MMZ27,Field,,2016-09-10,13:30:00,25.1,6.72,769.5,0.12,0.0,868.0,867.0,50.0,0.16,211.507984883579,211.507984883579,,Sampled,931,MAL,PVC pipes installed,211.507984883579
MMZ23,Field,,2016-09-10,10:40:00,24.9,6.17,707.5,0.31,0.0,719.0,729.0,50.0,0.16,176.52078507863,176.52078507863,,Sampled,927,MAL,PVC pipes installed,176.52078507863
MMZ24,Field,,2016-09-12,11:30:00,,,,,,,,,,,,,Not sampled,928,MAL,,
MMZ21,Field,,2016-09-12,10:20:00,24.0,6.53,178.9,9.68,0.01,423.0,420.0,50.0,0.16,102.767280263318,102.767280263318,,Sampled,925,MAL,PVC pipes installed,102.767280263318
MMZ22,Field,,2016-09-12,12:50:00,24.3,6.46,188.8,0.28,0.0,469.0,426.0,50.0,0.16,109.106424478849,109.106424478849,,Sampled,926,MAL,PVC pipes installed,109.106424478849
MMZ18,Field,,2016-09-12,10:00:00,23.4,5.95,208.7,0.29,0.01,383.0,388.0,50.0,0.16,93.9900036571986,93.9900036571986,,Sampled,922,MAL,PVC pipes installed,93.9900036571986
MMZ19,Field,,2016-09-13,11:35:00,23.4,6.43,375.2,0.39,0.0,867.0,901.0,50.0,0.16,215.530903328051,215.530903328051,,Sampled,923,MAL,PVC pipes installed,215.530903328051
