Temp (oC),pH,SEC (µS/cm),Turbidity (<NTU),Total Iron (mg/l),Titration 1,Titration 2,Volume 50/100ml,N_VALUE,Tryptophan_Probe_µgL,Final HCO3
27.3,7.75,612.0,0.35,0.01,185.0,182.0,50.0,1.6,0.45,447.397293673046
24.7,5.65,367.9,0.25,0.0,401.0,391.0,50.0,0.16,0.45,96.5500426673168
26.5,6.73,415.0,0.24,0.02,94.0,100.0,50.0,1.6,0.3,236.498841887114
28.4,7.08,713.6,0.49,0.0,161.0,170.0,50.0,1.6,0.7,40.3510910642448
29.1,7.03,597.3,1.38,0.01,229.0,221.0,50.0,1.6,0.45,54.8579787882482
24.4,6.25,476.5,0.36,0.02,355.0,364.0,50.0,0.16,0.45,87.6508594416677
24.8,6.68,307.9,0.34,0.003,58.0,55.0,50.0,1.6,0.45,137.754480068268
25.3,6.0,534.6,0.59,0.0,380.0,375.0,50.0,0.16,0.45,92.0394977447275
28.5,7.64,775.0,1.5,0.03,194.0,193.0,50.0,1.6,0.4,471.778617578935
24.0,7.22,680.7,0.3,-0.007,152.0,151.0,50.0,1.6,0.45,369.377057174205
26.9,6.38,173.8,0.27,0.0,199.0,199.0,50.0,0.16,0.3,48.5188345727173
28.3,7.51,1286.0,0.21,0.0,320.0,317.0,50.0,1.6,0.45,156.65000609533098
27.7,6.0,171.9,0.7,0.0,381.0,394.0,50.0,0.16,0.2,94.4776301353164
24.1,7.58,815.0,0.52,0.008,160.0,167.0,50.0,1.6,0.45,398.63464586127
24.8,6.8149999999999995,59.19,0.4,0.0,83.0,91.0,50.0,0.16,0.45,21.2117517981226
26.7,7.59,1197.0,0.24,0.0,270.0,274.0,50.0,1.6,0.5,663.172010240156
24.0,6.73,259.1,0.39,0.01,545.0,570.0,50.0,0.16,0.45,135.925880775326
25.2,6.76,247.3,0.4,0.02,57.0,58.0,50.0,1.6,0.3,140.192612458857
25.1,6.72,769.5,0.12,0.0,198.5,202.5,50.0,0.16,0.45,211.507984883579
24.1,6.76,1025.0,0.51,0.01,141.0,150.0,50.0,1.6,0.45,35.4748262830672
23.9,6.94,268.1,0.77,0.018,60.0,55.0,50.0,1.6,0.45,140.192612458857
25.2,6.0,159.6,0.3,0.0,265.0,260.0,50.0,0.16,0.45,64.0009752529562
24.9,6.42,673.2,0.4,0.01,198.5,202.5,50.0,0.16,0.45,200.658295745459
24.6,6.6,271.9,0.38,0.0,54.0,52.0,50.0,1.6,0.45,129.221016701207
27.4,7.15,431.0,0.17,0.02,113.0,114.0,50.0,1.6,0.7,276.72802633183
26.9,7.12,1554.0,0.17,0.02,274.0,276.0,50.0,1.6,0.45,67.0486407411923
29.0,7.26,139.6,0.5,0.0,303.0,314.0,50.0,0.16,0.2,75.2163842496648
23.6,7.06,334.6,0.4,0.0,198.5,202.5,50.0,0.16,0.45,187.736194075338
28.2,6.96,449.4,1.27,0.0,244.0,244.0,50.0,1.6,0.45,594.904303303669
25.8,6.46,451.5,0.67,0.0,198.5,202.5,50.0,0.16,0.45,210.045105449226
27.2,6.73,330.0,1.1,0.04,70.0,72.0,50.0,1.6,0.2,17.3107399731805
25.6,6.64,218.9,1.29,0.016,73.0,79.0,50.0,1.6,0.1,185.298061684749
24.7,6.03,353.7,0.37,0.02,286.0,270.0,50.0,0.16,0.45,67.7800804583689
24.6,6.58,586.7,0.11,0.0,198.5,202.5,50.0,0.16,0.45,165.061562842862
26.1,6.22,97.11,0.4,0.024,181.0,180.0,50.0,0.16,0.1,44.008289650128
27.0,6.87,409.6,0.17,0.009,82.0,84.0,50.0,1.6,0.3,202.364988418871
23.3,5.99,123.7,0.21,0.0,228.0,233.0,50.0,0.16,0.45,56.1989516030721
26.8,7.0,980.7,0.25,0.0,229.0,230.0,50.0,1.6,0.45,559.551383640132
26.8,7.58,810.7,0.18,0.031,119.0,115.0,50.0,1.6,0.6,285.261489698891
25.2,7.15,665.1,1.02,0.02,144.0,154.0,50.0,1.6,0.45,36.3281726197733
28.6,6.1,88.95,0.4,0.01,177.0,188.0,50.0,0.16,0.4,44.4959161282458
24.7,7.33,1072.0,0.56,0.01,211.0,212.0,50.0,1.6,0.45,515.665000609533
25.5,6.03,370.3,0.42,0.0,405.0,396.0,50.0,0.16,0.45,97.6472022430818
27.6,7.4,185.7,0.72,0.0,459.0,458.0,50.0,0.16,0.1,111.788370108497
27.1,7.43,1148.0,0.26,0.01,284.0,290.0,50.0,1.6,0.45,699.743996098988
25.2,6.93,486.4,0.21,0.0,107.0,104.0,50.0,1.6,0.45,25.7222967207119
23.6,5.91,89.65,0.4,0.01,230.0,241.0,50.0,0.16,0.45,57.4180177983665
26.1,6.23,203.5,0.22,0.026,372.0,375.0,50.0,0.16,0.5,91.064244788492
24.5,7.04,467.8,1.25,0.007,160.0,163.0,50.0,1.6,0.45,393.758381080093
28.3,6.25,83.34,0.65,0.0,135.0,141.0,50.0,0.16,0.2,33.6462269901256
24.6,6.64,311.5,0.28,0.021,52.0,49.0,50.0,1.6,0.45,123.125685724735
27.7,7.05,509.2,0.4,0.0,138.0,109.0,50.0,1.6,0.45,301.109350237718
26.7,7.19,449.4,0.4,0.008,289.0,273.0,50.0,1.6,0.45,685.115201755455
26.7,7.98,479.0,0.19,0.0,114.0,116.0,50.0,1.6,0.8,280.385224917713
27.2,6.51,540.5,0.72,0.02,198.5,641.0,50.0,0.16,0.3,158.722418627331
27.0,7.23,803.7,0.14,0.008,187.0,188.0,50.0,1.6,0.2,457.149823235402
27.9,6.81,263.9,0.64,0.01,471.0,484.0,50.0,0.16,0.4,116.420821650616
24.1,6.83,493.1,0.28,0.03,71.0,74.0,50.0,1.6,0.45,176.764598317689
25.5,6.68,469.0,0.62,0.01,198.5,202.5,50.0,0.16,0.45,211.995611361697
26.2,6.83,230.8,0.61,0.011,51.0,48.0,50.0,1.6,0.1,120.687553334146
27.2,6.62,552.6,0.4,0.01,98.0,97.0,50.0,1.6,0.7,237.717908082409
26.2,7.12,657.0,0.16,0.04,179.0,196.0,50.0,1.6,0.45,45.7149823235402
27.9,6.79,513.9,0.61,0.0,125.0,118.0,50.0,1.6,0.3,296.23308545654
26.8,6.92,1160.0,1.02,0.005,162.0,164.0,50.0,1.6,0.7,397.415579665976
28.2,7.65,798.0,0.16,0.0,195.0,204.0,50.0,1.6,0.7,486.407411922467
27.0,6.99,906.1,0.31,0.006,210.0,210.0,50.0,1.6,0.5,512.00780202365
28.7,6.33,83.5,0.4,0.01,206.0,210.0,50.0,0.16,0.2,50.7131537242472
23.8,7.01,355.3,0.33,0.01,198.5,202.5,50.0,0.16,0.45,198.463976593929
26.3,6.74,219.8,0.35,0.013,44.0,46.0,50.0,1.6,0.1,109.715957576496
27.6,6.65,183.2,0.82,0.0,28.0,26.0,50.0,1.6,0.3,65.8295745458978
28.2,7.45,1250.0,0.7,0.01,283.0,285.0,50.0,1.6,0.16,692.429598927222
27.6,6.52,285.0,0.5,0.0,277.0,268.0,50.0,0.16,0.2,66.439107643545
27.6,6.54,318.8,0.59,0.0,198.5,202.5,50.0,0.16,0.4,213.336584176521
23.8,7.19,676.8,0.33,0.007,111.0,105.0,50.0,1.6,0.45,263.318298183591
24.8,6.67,229.8,0.74,0.02,66.0,54.0,50.0,1.6,0.45,146.287943435329
27.6,6.7,353.7,0.81,0.0,610.0,605.0,50.0,0.16,0.2,148.11654272827
29.2,6.22,104.6,0.41,0.0,218.0,223.0,50.0,0.16,0.3,53.7608192124832
24.4,6.84,578.3,0.16,0.0,80.0,78.0,50.0,1.6,0.45,19.2612458856516
28.2,6.7,180.0,0.45,0.0,400.0,410.0,50.0,0.16,0.2,98.7443618188468
24.0,6.6,339.5,0.36,0.02,570.0,550.0,50.0,0.16,0.45,136.535413872973
26.6,6.82,602.0,0.18,0.01,142.0,144.0,50.0,1.6,0.4,348.6529318542
27.1,7.13,325.8,0.37,0.002,67.0,61.0,50.0,1.6,0.4,156.040472997684
24.6,6.93,1272.0,0.34,0.01,134.0,137.0,50.0,1.6,0.45,330.366938924784
24.2,6.96,787.4,0.3,0.018,110.0,115.0,50.0,1.6,0.45,274.289893941241
26.5,7.39,604.0,0.2,0.01,172.0,167.0,50.0,1.6,0.45,413.263440204803
26.7,7.3,491.0,0.62,0.01,140.0,135.0,50.0,1.6,0.7,335.243203705961
25.4,7.08,706.0,0.28,0.01,123.0,125.0,50.0,1.6,0.45,302.328416433012
23.1,5.81,111.0,0.28,0.0,253.0,265.0,50.0,0.16,0.45,63.1476289162502
27.8,7.18,487.0,1.54,0.011,95.0,100.0,50.0,1.6,0.5,237.717908082409
24.0,6.53,178.9,0.4,0.01,423.0,420.0,50.0,0.16,0.45,102.767280263318
27.3,6.26,171.2,0.75,0.01,403.0,405.0,50.0,0.16,0.2,98.5005485797879
27.1,7.54,1095.0,0.2,0.01,198.0,200.0,50.0,1.6,0.5,485.188345727173
24.3,6.09,314.8,0.24,0.01,376.0,373.0,50.0,0.16,0.45,91.3080580275509
25.2,5.51,73.56,0.4,0.0,134.0,136.0,50.0,0.16,0.45,32.9147872729489
28.7,6.82,237.6,0.84,0.0,520.0,518.0,50.0,0.16,0.7,126.539071071559
25.6,6.32,203.5,0.4,0.01,470.0,469.0,50.0,0.16,0.45,114.470315738145
26.4,7.65,1258.0,0.42,0.0,298.0,300.0,50.0,1.6,0.45,729.001584786054
27.6,6.78,522.6,0.44,0.01,109.0,108.0,50.0,1.6,0.5,264.537364378886
27.4,7.3,449.4,0.17,0.02,296.0,274.0,50.0,1.6,0.45,694.86773131781
27.4,5.86,105.2,0.4,0.0,166.0,155.0,50.0,0.16,0.2,39.1320248689504
28.6,6.79,230.1,0.46,0.01,512.0,534.0,50.0,0.16,0.2,127.514324027795
26.8,6.96,243.3,1.35,0.014,50.0,50.0,50.0,1.6,0.5,121.90661952944
27.7,5.68,31.56,0.92,0.01,41.0,44.0,50.0,0.16,0.2,10.3620626600024
26.7,7.0,1062.0,0.08,0.003,252.0,262.0,50.0,1.6,0.7,626.600024381324
27.6,6.98,387.1,0.6,0.01,198.5,202.5,50.0,0.16,0.3,200.170669267341
28.3,6.53,293.6,0.8,0.02,346.0,350.0,50.0,0.16,0.45,84.8470071924906
24.7,6.79,319.8,0.38,0.0,53.0,54.0,50.0,1.6,0.45,130.440082896501
24.1,6.76,1100.0,0.78,0.02,129.0,119.0,50.0,1.6,0.45,30.2328416433012
28.1,7.02,484.1,0.52,0.0,124.0,128.0,50.0,1.6,0.3,30.720468121419
26.6,7.08,551.9,0.79,0.01,129.0,126.0,50.0,1.6,0.8,310.861879800073
28.6,7.34,1370.0,0.22,0.02,305.0,310.0,50.0,1.6,0.45,749.725710106059
28.7,6.19,284.7,1.12,0.0,198.5,202.5,50.0,0.16,0.3,164.452029745215
26.6,7.06,673.3,1.22,0.01,167.0,154.0,50.0,1.6,0.8,391.320248689504
24.9,6.03,115.2,0.15,0.0,246.0,242.0,50.0,0.16,0.45,59.4904303303669
28.2,6.01,46.96,0.93,0.0,103.0,113.0,50.0,0.16,0.2,26.3318298183591
28.0,7.22,1053.0,0.19,0.01,212.0,210.0,50.0,1.6,0.5,514.445934414239
27.9,7.34,449.4,1.05,0.01,367.0,368.0,50.0,1.6,0.7,156.65000609533098
28.0,6.87,625.4,0.24,0.002,168.0,159.0,50.0,1.6,0.7,398.63464586127
25.3,6.25,117.9,0.39,0.01,198.0,201.0,50.0,0.16,0.4,48.6407411922467
23.9,7.41,681.5,0.28,0.003,139.0,139.0,50.0,1.6,0.45,338.900402291844
25.2,6.76,341.0,0.3,0.0,50.0,51.0,50.0,1.6,0.45,123.125685724735
27.3,6.77,307.0,0.25,0.026,64.0,65.0,50.0,1.6,0.2,157.259539192978
25.0,7.07,449.4,0.28,0.005,226.0,220.0,50.0,1.6,0.45,543.703523101304
23.6,6.1,432.1,0.3,0.0,65.0,54.0,50.0,1.6,0.45,14.5068877240034
24.9,6.07,441.2,0.42,0.02,521.0,576.0,50.0,0.16,0.45,133.731561623796
27.2,6.62,144.5,0.38,0.02,293.0,300.0,50.0,0.16,0.2,72.2906253809582
24.3,6.46,188.8,0.28,0.0,469.0,426.0,50.0,0.16,0.45,109.106424478849
24.4,6.94,1148.0,0.28,0.021,144.0,145.0,50.0,1.6,0.45,352.310130440083
27.0,6.97,418.5,0.3,0.013,80.0,75.0,50.0,1.6,0.3,188.955260270633
