iter	RMSE
0	0.4870758447
1	0.4801199152
2	0.474057216
3	0.4665555451
4	0.4607629572
5	0.4546847967
6	0.4481739681
7	0.4416174167
8	0.4350102449
9	0.4295245866
10	0.424129223
11	0.4191404852
12	0.4140447047
13	0.4096872724
14	0.4044786372
15	0.4003870568
16	0.3958793149
17	0.3910362323
18	0.3869657853
19	0.3827397886
20	0.3783083594
21	0.3745319406
22	0.3700454271
23	0.3670558144
24	0.3637032331
25	0.3601913807
26	0.3569217739
27	0.3532814415
28	0.3493678812
29	0.3467853251
30	0.3435940289
31	0.3398608707
32	0.3373394645
33	0.3339812214
34	0.3303953847
35	0.3280852821
36	0.3251315204
37	0.3227757177
38	0.3202370014
39	0.3176966256
40	0.3149658194
41	0.313017781
42	0.3107558056
43	0.3089022008
44	0.3069174735
45	0.3045071541
46	0.3023826598
47	0.3001104548
48	0.2979428775
49	0.2958610452
50	0.2938171958
51	0.291919578
52	0.2901177149
53	0.2881100686
54	0.2860291187
55	0.2843556233
56	0.2829336646
57	0.2810956197
58	0.2797053726
59	0.2779144624
60	0.2759638562
61	0.2741442975
62	0.2727510924
63	0.2713584435
64	0.2695473719
65	0.2682877319
66	0.2670588461
67	0.2656517032
68	0.2640491973
69	0.2627200259
70	0.2614456061
71	0.2599232461
72	0.2583757124
73	0.257136316
74	0.2556720611
75	0.2541977388
76	0.253091257
77	0.251893465
78	0.250970571
79	0.249685904
80	0.2489583292
81	0.2478489979
82	0.2466645411
83	0.2455647846
84	0.2443841547
85	0.2440191546
86	0.2432076491
87	0.2420189847
88	0.2405331144
89	0.239476342
90	0.2386233893
91	0.2378643731
92	0.2368611262
93	0.2361519676
94	0.2355154869
95	0.2345022442
96	0.2340628361
97	0.2338030745
98	0.2331144741
99	0.2326552547
100	0.2320931338
101	0.231028176
102	0.2298481546
103	0.2291623856
104	0.2283220251
105	0.2272821037
106	0.2265182509
107	0.2255215987
108	0.2245176773
109	0.2239136073
110	0.2231834285
111	0.2228248756
112	0.2219661022
113	0.2211689103
114	0.2206107312
115	0.2195370327
116	0.2183149504
117	0.2174577493
118	0.2167707543
119	0.2161591536
120	0.2154299575
121	0.2146918016
122	0.2143288766
123	0.2137046356
124	0.2131619713
125	0.2129386611
126	0.2124174874
127	0.2121645956
128	0.2116165477
129	0.2110252538
130	0.2103785204
131	0.2095033914
132	0.2089197195
133	0.2084628218
134	0.207886112
135	0.2069999536
136	0.2063976177
137	0.2059143566
138	0.2055893722
139	0.2048273385
140	0.2043359271
141	0.2039297968
142	0.2034826635
143	0.202770642
144	0.2021336372
145	0.2017098656
146	0.2010080204
147	0.2007072466
148	0.2004295885
149	0.1998681191
150	0.199296221
151	0.1989126695
152	0.19849023
153	0.198202362
154	0.197579131
155	0.1970496836
156	0.1967750494
157	0.1963436026
158	0.1961137963
159	0.195853386
160	0.1956000265
161	0.195174804
162	0.1947208352
163	0.1945261951
164	0.1943633582
165	0.1939705487
166	0.1936773093
167	0.1934187202
168	0.1929459332
169	0.1923464746
170	0.1919346096
171	0.1913560662
172	0.1907540854
173	0.1904479749
174	0.1901566517
175	0.1898685301
176	0.1890809467
177	0.1886448951
178	0.1880706759
179	0.1878079828
180	0.1873182345
181	0.1869468969
182	0.1865852561
183	0.1862979442
184	0.185608491
185	0.1849561409
186	0.1846693906
187	0.1842472475
188	0.1837430809
189	0.1832271701
190	0.1829781272
191	0.1824572142
192	0.182291828
193	0.1817687433
194	0.1814795139
195	0.1808160894
196	0.1803132514
197	0.1800107163
198	0.1793981703
199	0.1791310269
200	0.1788249897
201	0.1784445108
202	0.178168754
203	0.177903335
204	0.1776832136
205	0.177440555
206	0.1772771579
207	0.1770021075
208	0.1765697915
209	0.1759912301
210	0.1751739067
211	0.1749562386
212	0.1747380934
213	0.1744752763
214	0.1742800218
215	0.1738947003
216	0.1737564285
217	0.173496038
218	0.1732721811
219	0.1727067253
220	0.1719486499
221	0.1715388814
222	0.1713769205
223	0.1710704652
224	0.1709121016
225	0.1706670475
226	0.1699714655
227	0.1697800032
228	0.16911385
229	0.1685195093
230	0.1682424301
231	0.1678540287
232	0.1672657689
233	0.1670487897
234	0.1666460713
235	0.1660656881
236	0.1658281608
237	0.1650873256
238	0.1645598989
239	0.16375834
240	0.1634897428
241	0.1631000033
242	0.1628357763
243	0.1624329431
244	0.1622468171
245	0.1614282483
246	0.1609538231
247	0.1608050342
248	0.1605628224
249	0.1604164783
250	0.1597895934
251	0.159593039
252	0.159356674
253	0.1586231884
254	0.1584032232
255	0.157859609
256	0.1574872329
257	0.1569762471
258	0.1567948487
259	0.1563572147
260	0.1558221229
261	0.1555765933
262	0.1554036349
263	0.1550376795
264	0.1545113456
265	0.1542302685
266	0.1539980658
267	0.1533210462
268	0.1526337936
269	0.1524697
270	0.1522675495
271	0.1520520249
272	0.1513887355
273	0.1512541593
274	0.1506949824
275	0.1500517754
276	0.1498833224
277	0.1492971081
278	0.1487817581
279	0.1480958781
280	0.1479047078
281	0.147099008
282	0.146449284
283	0.1458396301
284	0.1456927797
285	0.1451411943
286	0.1448464585
287	0.1447058557
288	0.1443071434
289	0.1439741488
290	0.1435722711
291	0.143271263
292	0.1427942901
293	0.1426170814
294	0.1420095868
295	0.1415035926
296	0.141339693
297	0.1407928498
298	0.1402438759
299	0.1398900472
300	0.1394436642
301	0.1391135362
302	0.1389766625
303	0.1385156139
304	0.1382702087
305	0.1377516742
306	0.1375863808
307	0.1370962285
308	0.1367682293
309	0.1365560202
310	0.1364333767
311	0.1363105608
312	0.1357880175
313	0.1353536614
314	0.1349431068
315	0.1343550229
316	0.1341016426
317	0.1335127842
318	0.1333801515
319	0.1328722495
320	0.132262235
321	0.1316490748
322	0.1309212713
323	0.1302817188
324	0.1301192425
325	0.1300098973
326	0.1297555088
327	0.129300426
328	0.1289535062
329	0.1284717301
330	0.128106597
331	0.1278577471
332	0.1276762311
333	0.127501886
334	0.1268208627
335	0.1267073675
336	0.126591282
337	0.1263317873
338	0.1260206122
339	0.1259006347
340	0.1257277617
341	0.1256195414
342	0.1254184075
343	0.1253186832
344	0.1248133069
345	0.1241579406
346	0.1240375198
347	0.1238243133
348	0.1233209947
349	0.1229463725
350	0.1224279021
351	0.1219083747
352	0.1214624479
353	0.1212467662
354	0.1210439966
355	0.1208172062
356	0.1204966091
357	0.1199707426
358	0.1195336961
359	0.1191449067
360	0.1190396584
361	0.1186460373
362	0.1184607944
363	0.1181109868
364	0.1176516714
365	0.117448222
366	0.1169719078
367	0.1167755245
368	0.1166700143
369	0.1165703715
370	0.1160461615
371	0.1155536297
372	0.115408981
373	0.1149067358
374	0.1147841329
375	0.1146467522
376	0.1145059085
377	0.1142241063
378	0.1137326786
379	0.1133777585
380	0.1130083095
381	0.1125641917
382	0.1124288042
383	0.1119845493
384	0.1118923785
385	0.1117470401
386	0.1113608644
387	0.1112661794
388	0.1111914352
389	0.1110947771
390	0.1109733248
391	0.1108848126
392	0.1107157313
393	0.1102493293
394	0.1100106092
395	0.1099237897
396	0.1095836095
397	0.1095338245
398	0.1094314614
399	0.1092996564
400	0.1091779715
401	0.1090632624
402	0.1089491696
403	0.1086957893
404	0.1085002563
405	0.1082488872
406	0.1081979791
407	0.1076895408
408	0.1072566344
409	0.1067445946
410	0.1063438384
411	0.1060855718
412	0.1058434588
413	0.1057546631
414	0.1056657937
415	0.1055468139
416	0.1054838122
417	0.1049755103
418	0.1048633405
419	0.1044059608
420	0.1042967217
421	0.1040371793
422	0.1035997281
