iter	Passed	Remaining
0	22	22391
1	23	11848
2	24	8261
3	25	6453
4	26	5351
5	27	4627
6	29	4151
7	30	3780
8	31	3440
9	32	3248
10	34	3121
11	35	2957
12	37	2817
13	37	2633
14	38	2511
15	39	2406
16	39	2312
17	40	2213
18	41	2147
19	41	2057
20	42	2004
21	43	1933
22	44	1888
23	44	1817
24	45	1780
25	46	1746
26	47	1694
27	48	1688
28	50	1675
29	51	1650
30	51	1607
31	52	1581
32	53	1561
33	54	1543
34	55	1519
35	56	1501
36	57	1484
37	57	1465
38	58	1442
39	59	1428
40	60	1416
41	61	1391
42	62	1392
43	64	1398
44	65	1391
45	66	1387
46	69	1400
47	70	1401
48	71	1387
49	72	1384
50	73	1371
51	74	1362
52	75	1341
53	75	1331
54	77	1331
55	79	1335
56	80	1338
57	82	1338
58	83	1336
59	86	1354
60	88	1356
61	89	1352
62	90	1346
63	91	1338
64	92	1334
65	93	1327
66	94	1320
67	95	1312
68	96	1305
69	97	1298
70	98	1291
71	99	1285
72	100	1278
73	101	1274
74	103	1276
75	105	1277
76	105	1270
77	108	1277
78	109	1277
79	110	1274
80	112	1281
81	114	1278
82	115	1273
83	115	1264
84	117	1259
85	117	1246
86	118	1241
87	119	1236
88	120	1231
89	121	1229
90	123	1236
91	125	1243
92	127	1245
93	129	1245
94	130	1240
95	131	1235
96	132	1231
97	132	1219
98	133	1214
99	134	1210
100	134	1201
101	135	1196
102	136	1192
103	138	1195
104	141	1210
105	143	1213
106	145	1210
107	146	1206
108	147	1206
109	148	1202
110	149	1197
111	150	1193
112	151	1192
113	152	1188
114	153	1184
115	155	1183
116	156	1180
117	157	1177
118	158	1174
119	159	1170
120	160	1166
121	161	1164
122	165	1178
123	167	1185
124	169	1186
125	170	1181
126	172	1182
127	174	1185
128	175	1184
129	177	1185
130	178	1181
131	179	1178
132	180	1174
133	181	1170
134	182	1166
135	182	1162
136	183	1158
137	184	1155
138	186	1152
139	187	1153
140	189	1151
141	190	1148
142	191	1145
143	192	1141
144	193	1138
145	193	1134
146	194	1130
147	195	1127
148	196	1123
149	197	1119
150	198	1115
151	199	1112
152	200	1112
153	202	1112
154	203	1110
155	204	1107
156	205	1104
157	206	1101
158	207	1098
159	208	1095
160	209	1090
161	210	1087
162	211	1083
163	211	1080
164	212	1077
165	213	1074
166	214	1071
167	216	1070
168	217	1069
169	218	1068
170	220	1066
171	221	1064
172	222	1061
173	222	1058
174	223	1055
175	224	1052
176	225	1049
177	226	1046
178	227	1043
179	228	1041
180	229	1039
181	230	1037
182	232	1036
183	233	1037
184	235	1036
185	236	1033
186	237	1031
187	238	1029
188	239	1026
189	240	1024
190	241	1021
191	242	1019
192	243	1016
193	244	1013
194	244	1011
195	245	1009
196	247	1007
197	248	1006
198	249	1004
199	250	1001
200	251	999
201	252	997
202	253	994
203	254	992
204	255	989
205	256	987
206	257	985
207	258	982
208	259	980
209	259	977
210	260	974
211	262	976
212	264	976
213	265	974
214	266	972
215	267	971
216	268	967
217	268	964
218	270	964
219	271	964
220	273	963
221	274	962
222	275	960
223	276	959
224	277	957
225	279	955
226	280	953
227	281	951
228	282	949
229	284	951
230	285	950
231	288	955
232	289	952
233	290	950
234	291	948
235	292	946
236	293	946
237	295	945
238	296	944
239	297	943
240	298	941
241	299	939
242	300	937
243	301	935
244	302	933
245	303	931
246	304	928
247	305	927
248	306	925
249	308	925
250	310	926
251	311	925
252	313	924
253	313	922
254	314	919
255	315	917
256	316	915
257	317	913
258	318	911
259	319	909
260	320	908
261	321	906
262	322	904
263	324	903
264	325	903
265	326	901
266	327	900
267	328	898
268	329	896
269	330	894
270	331	892
271	332	890
272	333	888
273	334	886
274	335	884
275	336	883
276	337	881
277	339	881
278	340	880
279	341	878
280	342	876
281	343	874
282	344	872
283	345	870
284	346	869
285	347	867
286	348	865
287	349	863
288	350	862
289	351	861
290	354	864
291	356	864
292	357	863
293	358	861
294	359	859
295	361	860
296	362	859
297	363	857
298	364	855
299	366	854
300	366	852
301	368	850
302	369	849
303	370	847
304	371	846
305	372	844
306	373	843
307	375	843
308	377	843
309	378	843
310	380	842
311	381	840
312	382	838
313	383	837
314	386	840
315	389	843
316	391	842
317	393	844
318	395	844
319	397	844
320	398	842
321	399	842
322	402	843
323	403	841
324	404	840
325	405	838
326	406	837
327	407	835
328	408	833
329	409	831
330	410	829
331	411	827
332	412	826
333	413	824
334	415	824
335	419	829
336	422	830
337	423	828
338	424	827
339	425	825
340	426	823
341	426	821
342	428	819
343	428	817
344	429	816
345	431	815
346	432	814
347	433	812
348	434	811
349	435	809
350	436	807
351	437	806
352	438	804
353	439	802
354	440	800
355	441	798
356	442	797
357	443	795
358	445	795
359	446	793
360	448	793
361	449	792
362	450	791
363	451	789
364	452	787
365	453	785
366	454	784
367	455	782
368	456	780
369	457	779
370	458	777
371	459	775
372	460	774
373	462	774
374	464	773
375	465	772
376	466	770
377	467	769
378	468	767
379	469	766
380	470	764
381	471	762
382	472	761
383	473	760
384	474	758
385	475	757
386	477	755
387	478	754
388	479	752
389	480	751
390	481	749
391	482	748
392	483	747
393	484	745
394	485	744
395	486	742
396	487	741
397	488	739
398	490	738
399	490	736
400	492	735
401	494	735
402	495	733
403	496	732
404	497	730
405	498	729
406	499	727
407	500	725
408	501	724
409	502	722
410	503	721
411	504	719
412	505	718
413	506	716
414	507	715
415	509	714
416	510	713
417	511	712
418	512	710
419	513	709
420	514	707
421	515	706
422	516	704
423	517	702
424	518	701
425	519	699
426	520	698
427	521	696
428	525	699
429	526	698
430	527	697
431	528	695
432	529	693
433	530	692
434	531	690
435	532	688
436	533	686
437	533	685
438	534	683
439	535	681
440	536	679
441	537	678
442	538	676
443	539	675
444	540	674
445	541	672
446	542	671
447	543	669
448	544	668
449	545	666
450	546	665
451	547	663
452	548	661
453	549	660
454	550	658
455	550	657
456	551	655
457	553	655
458	555	654
459	556	653
460	558	652
461	558	650
462	559	649
463	560	647
464	561	645
465	562	644
466	562	642
467	563	640
468	564	638
469	565	637
470	565	635
471	566	633
472	568	632
473	569	631
474	570	630
475	571	628
476	572	627
477	573	625
478	574	624
479	575	623
480	576	622
481	577	620
482	578	619
483	579	617
484	580	616
485	581	614
486	582	613
487	583	612
488	584	610
489	585	609
490	586	608
491	587	606
492	589	605
493	590	604
494	590	602
495	591	601
496	592	599
497	593	598
498	594	597
499	595	595
500	596	594
501	597	592
502	599	591
503	600	590
504	601	589
505	602	588
506	603	587
507	604	585
508	605	584
509	606	582
510	607	581
511	608	579
512	609	578
513	610	577
514	611	575
515	612	574
516	612	572
517	613	571
518	614	569
519	616	568
520	617	567
521	618	566
522	619	564
523	620	563
524	620	561
525	621	560
526	622	559
527	623	557
528	624	556
529	625	554
530	626	553
531	627	552
532	628	550
533	629	549
534	630	547
535	631	546
536	632	545
537	634	544
538	635	543
539	636	541
540	637	540
541	638	539
542	639	537
543	640	536
544	641	535
545	641	533
546	642	532
547	643	531
548	645	529
549	646	528
550	647	527
551	648	526
552	649	524
553	650	523
554	651	522
555	652	521
556	653	519
557	654	518
558	655	516
559	656	515
560	657	514
561	657	512
562	658	511
563	660	510
564	662	510
565	663	509
566	664	507
567	665	506
568	666	505
569	667	503
570	668	502
571	669	500
572	670	499
573	671	498
574	672	496
575	673	495
576	674	494
577	675	492
578	676	491
579	677	490
580	678	489
581	679	487
582	680	486
583	681	485
584	683	484
585	684	483
586	685	482
587	686	481
588	687	479
589	688	478
590	689	477
591	694	478
592	697	478
593	698	477
594	699	476
595	700	474
596	701	473
597	702	472
598	703	471
599	705	470
600	708	470
601	709	469
602	711	468
603	712	467
604	714	466
605	715	464
606	716	463
607	717	462
608	718	461
609	719	459
610	721	459
611	723	458
612	725	457
613	726	456
614	727	455
615	728	454
616	729	452
617	730	451
618	731	450
619	732	449
620	733	447
621	734	446
622	738	446
623	740	446
624	741	445
625	743	443
626	744	442
627	745	441
628	746	440
629	747	438
630	748	437
631	749	436
632	750	435
633	752	434
634	753	433
635	754	431
636	755	430
637	757	429
638	758	428
639	759	427
640	760	425
641	761	424
642	762	423
643	763	421
644	763	420
645	764	419
646	769	419
647	771	418
648	772	417
649	774	417
650	775	415
651	776	414
652	777	413
653	778	411
654	779	410
655	780	409
656	781	408
657	784	407
658	785	406
659	786	405
660	787	403
661	788	402
662	789	401
663	790	399
664	791	398
665	792	397
666	793	396
667	794	394
668	795	393
669	796	392
670	797	390
671	798	389
672	799	388
673	800	387
674	801	385
675	801	384
676	802	383
677	804	381
678	806	381
679	810	381
680	813	380
681	814	379
682	816	378
683	817	377
684	818	376
685	819	374
686	820	373
687	821	372
688	823	371
689	826	371
690	828	370
691	830	369
692	831	368
693	832	367
694	833	365
695	834	364
696	835	363
697	836	362
698	839	361
699	846	362
700	847	361
701	849	360
702	850	359
703	851	358
704	854	357
705	860	358
706	862	357
707	863	356
708	864	355
709	865	353
710	866	352
711	867	351
712	870	350
713	877	351
714	880	350
